Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1006,508333;21,670833;32,1;26,1625;22,3;78,083333;45;11,1;2,8875;
2020-01-02;0;1005,25;22,670833;33,6;26,679167;23,7;80,25;48;15,3;4,175;
2020-01-03;3,6;1005,4;23,241667;32,9;25,8875;22,4;86,583333;56;10,7;2,704167;
2020-01-04;16;1005,216667;23,4375;31,4;25,641667;23,3;88,458333;58;9,6;3,875;
2020-01-05;39,4;1004,958333;22,966667;34,5;27,045833;22,9;80,083333;48;10,5;4,0875;
2020-01-06;0;1006,145833;23,7625;32,7;27,120833;24,2;82,916667;59;11,3;3,75;
2020-01-07;,8;1007,316667;23,183333;33;27,3625;23,9;79;55;11,1;4,033333;
2020-01-08;0;1008,166667;22,9875;32,4;27,3625;25;77,958333;56;10,7;3,783333;
2020-01-09;0;1008,366667;21,016667;33;26,941667;22,9;72,208333;43;10,7;3,833333;
2020-01-10;0;1008,8375;21,129167;33,9;27,229167;23,4;72,041667;39;10,6;4,233333;
2020-01-11;0;1008,4625;20,508333;35,2;27,666667;23,8;68,791667;30;12,3;4,4625;
2020-01-12;0;1008,141667;21,733333;35,8;27,8875;23,5;71,916667;38;11,4;4,083333;
2020-01-13;0;1008,270833;22,358333;35,3;28,1625;23,9;72,541667;41;9;3,079167;
2020-01-14;24,2;1009,883333;22,304167;29,4;25,908333;23,8;81,666667;52;12,6;3,033333;
2020-01-15;0;1009,820833;20,7;30,5;25,683333;22,7;74,541667;60;10,2;3,354167;
2020-01-16;0;1009,716667;22,375;34,3;27,354167;23,8;76,25;44;9,8;3,091667;
2020-01-17;0;1009,945833;22,283333;34,1;27,7375;24,3;74,583333;40;10,4;3,791667;
