Nome: ALFREDO CHAVES
Codigo Estacao: A615
Latitude: -20.63638888
Longitude: -40.74194444
Altitude: 14.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1006,625;19,466667;33,1;26,504167;20,4;66,375;44;10,3;2,029167;
2020-01-02;1,6;1004,345833;20,754167;36;28,825;24,5;62,958333;36;11,2;1,816667;
2020-01-03;67,8;1006,4625;21,733333;31,2;24,9625;22,3;82,958333;62;7,3;1,291667;
2020-01-04;32,4;1005,916667;21,775;27,4;24,6;22,5;84,541667;73;5,7;1,5375;
2020-01-05;3,8;1004,6125;22,641667;33,8;27,470833;23,2;76,041667;56;5,4;1,154167;
2020-01-06;2,6;1005,745833;22,766667;34;27,566667;24,1;76,25;51;6,6;1,975;
2020-01-07;3,6;1006,466667;23,204167;34,7;28,991667;23,5;72;52;6,8;2,0625;
2020-01-08;0;1006,841667;23,095833;37,1;30,395833;25,1;66,583333;42;8,1;1,966667;
2020-01-09;0;1007,716667;22,383333;34,9;28,466667;23,6;71,291667;45;11,6;1,941667;
2020-01-10;0;1007,633333;21,404167;36;29,045833;23,1;66;38;10,5;2,116667;
2020-01-11;0;1007,3125;18,741667;36,7;29,345833;21,6;55,375;28;8,9;1,9875;
2020-01-12;0;1007,379167;19,15;36,8;30,383333;26,6;51,833333;36;13,4;3,025;
2020-01-13;0;1010,029167;21,920833;32,7;26,933333;24,4;75;53;8,8;1,833333;
2020-01-14;40,4;1012,204167;20,3125;28,1;24,816667;23;76,666667;56;7,2;1,720833;
2020-01-15;0;1011,5375;19,229167;30,1;25,158333;21,5;70,375;56;7,3;1,75;
2020-01-16;0;1009,454167;21,033333;35,8;27,970833;20,9;68,083333;46;5,8;1,691667;
2020-01-17;0;1010,8625;22,008333;31,7;27,070833;24,6;74,666667;58;7,6;1,9625;
2020-01-18;210,2;1015,095833;20,216667;26,2;23,345833;21,9;82,958333;69;8,4;1,270833;
2020-01-19;,6;1012,9125;19,858333;28,8;24,720833;21,8;75,333333;56;7,3;1,9125;
2020-01-20;0;1010,066667;19,245833;27,9;23,225;21,7;79,083333;59;6,1;1,508333;
2020-01-21;24,2;1007,441667;19,9875;25,5;22,458333;20,7;86,25;71;4,6;1,195833;
2020-01-22;18,6;1006,425;19,970833;29,4;24,045833;20,9;78,875;55;6,5;1,6875;
2020-01-23;3,8;1004,991667;21,554167;27,7;24,408333;21,7;84,416667;69;4,1;1,116667;
2020-01-24;10,4;1001,7125;22,129167;26,9;24,129167;23;88,625;79;3,6;,904167;
2020-01-25;50,6;1005,6125;20,483333;24,6;22,525;21,7;88,375;79;8,5;1,2625;
2020-01-26;19,2;1009,033333;19,854167;29,8;24,370833;21,1;76,875;50;7,5;1,708333;
2020-01-27;0;1009,645833;21,0875;27,3;24;21,4;84;68;4,4;1,266667;
2020-01-28;18,6;1008,525;22,175;33,9;27,408333;22,4;74,541667;52;5,7;1,654167;
2020-01-29;,2;1009,629167;22,366667;35;29,370833;24,9;67,416667;41;6,4;1,616667;
2020-01-30;0;1010,2125;22,6125;35,8;29,533333;23,8;68,291667;47;5,9;1,441667;
2020-01-31;0;1009,533333;23,1875;35,2;28,658333;23,2;73,875;52;6,6;1,558333;
2020-02-01;0;1008,545833;22,041667;35;29,454167;23,3;66,125;43;6,6;1,995833;
2020-02-02;0;1010,254167;22,4;33,5;27,5125;23,9;74,666667;55;7,5;1,345833;
2020-02-03;0;1010,325;22,175;33,5;28,070833;24,4;71,833333;50;8,2;1,704167;
2020-02-04;0;1010,175;20,604167;34,6;27,941667;21,5;66,25;38;6,5;1,716667;
2020-02-05;0;1010,154167;21,025;34,6;28,383333;23,5;66,333333;39;8;1,820833;
2020-02-06;0;1011,675;20,725;31,6;26,658333;23;70,875;50;7,3;1,516667;
2020-02-07;0;1010,991667;21,308333;29,8;25,216667;22,7;79,458333;59;20,7;1,608333;
2020-02-08;6;1010,783333;21,616667;30,4;25,258333;23,1;80,916667;59;7,4;1,6125;
2020-02-09;4,2;1009,683333;21,7375;33,7;27,708333;22;71,833333;49;6,4;1,675;
2020-02-10;,2;1009,770833;20,579167;35;28,35;25;63,916667;41;15,4;2,241667;
2020-02-11;17,6;1010,770833;21,991667;27,8;24,441667;23,2;86,375;70;6,1;1,383333;
