Nome: PRES. KENNEDY
Codigo Estacao: A622
Latitude: -21.10083333
Longitude: -41.03944444
Altitude: 69.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1000,354167;20,179167;31,6;26,2375;21,9;70,708333;46;13,1;5,129167;
2020-01-02;0;998,625;21,629167;34,6;26,6875;22,8;75,791667;41;11;3,1375;
2020-01-03;17,4;1000,429167;22,116667;32,1;25,141667;21,8;84,125;55;12,9;2,416667;
2020-01-04;6,2;999,945833;22,245833;29;24,708333;22,4;86,666667;67;9,9;2,470833;
2020-01-05;1,8;998,825;23,0375;32,9;26,320833;23,4;83,25;56;9;2,579167;
2020-01-06;3,8;999,929167;24,154167;33,1;27,058333;24,4;85,083333;53;10,5;1,5375;
2020-01-07;8,2;1000,708333;24,029167;33,7;27,8625;24,6;80,958333;56;10,3;2,7125;
2020-01-08;,2;1001,141667;23,608333;34,6;28,108333;24,2;78,375;52;10,9;2,975;
2020-01-09;0;1001,854167;22,7375;33,7;27,575;23,6;76,416667;53;11,3;2,566667;
2020-01-10;0;1001,820833;22,075;34,3;27,554167;23,4;73,916667;50;10,5;2,875;
2020-01-11;0;1001,045833;20,2625;36;27,808333;22,3;66,333333;36;12,8;5,195833;
2020-01-12;0;1001,75;21,504167;36,1;28,616667;23,4;68,583333;38;10,2;2,3125;
2020-01-13;0;1004,091667;23,116667;32,8;27,3;25,1;78,541667;57;11,3;2,7875;
2020-01-14;3,2;1006,3;20,391667;27,2;24,495833;23,4;78,916667;50;8,1;2,883333;
2020-01-15;0;1005,5125;19,220833;30,3;24,725;20;72,458333;54;9,9;2,654167;
2020-01-16;0;1003,516667;20,958333;35,3;27,441667;21,8;69,708333;40;11,2;2,995833;
2020-01-17;1;1004,891667;23,345833;31,9;26,520833;24,7;83,291667;62;16,6;3,254167;
2020-01-18;21;1008,945833;20,091667;27,7;23,516667;21,2;81,708333;62;16,8;4,7625;
2020-01-19;0;1007;19,554167;29,7;24,791667;21,9;73,666667;53;10,5;3,695833;
2020-01-20;0;1004,229167;19,733333;24,9;22,116667;22,1;86,666667;72;9,2;2,654167;
2020-01-21;12;1001,3875;20,2625;25,8;22,35;20,2;88,208333;73;7,2;2,8125;
2020-01-22;6;1000,479167;20,4875;29,9;24,033333;20,5;81,416667;58;8,9;2,929167;
2020-01-23;0;999,0125;21,883333;28,2;24,495833;22,2;86,083333;66;8,9;2;
2020-01-24;21,6;995,8625;21,608333;24,7;22,520833;21,3;94,541667;90;8,9;2,245833;
