Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;984,645833;20,654167;33,2;26,329167;19,9;73,666667;42;9,4;1,770833;
2020-01-02;,2;983,729167;21,920833;35,9;26,1;22,3;79,708333;42;48,6;2,0875;
2020-01-03;4,2;983,854167;22,241667;34,4;25,929167;22,2;82,5;49;14,7;2,095833;
2020-01-04;45,2;984,104167;22,275;31,9;25,529167;22,4;83,416667;54;9;2,925;
2020-01-05;0;983,766667;22,183333;33,5;26,379167;22,9;79,166667;52;9,6;2,5;
2020-01-06;0;984,729167;23,0625;34,4;26,25;23,7;83,791667;51;10,4;1,929167;
2020-01-07;1,2;985,575;23,8125;34,8;27,6875;23,7;81,166667;53;7,8;1,795833;
2020-01-08;,2;986,358333;22,979167;33,6;27,354167;24;78,5;53;7,1;1,695833;
2020-01-09;0;986,695833;20,845833;33,1;25,9875;20,9;76,083333;43;6,3;1,325;
2020-01-10;0;987,116667;20,125;34;26,7125;20,8;70,208333;40;7,5;1,733333;
2020-01-11;0;986,970833;19,370833;34,8;26,941667;20,2;67;35;8;1,566667;
2020-01-12;0;986,570833;20,995833;36,2;27,795833;20,3;70,125;38;6,1;1,3125;
2020-01-13;0;986,166667;21,158333;36,4;28,029167;20,6;70,5;33;7,3;1,541667;
2020-01-14;0;987,720833;21,620833;33,5;26,683333;22,9;75,083333;53;11,7;2,970833;
2020-01-15;0;988,052174;20,482609;32,1;25,421739;20,7;74,73913;53;8,8;1,869565;
2020-01-16;0;988,05;21,870833;35,6;28,4;23,7;70,958333;39;7,8;1,754167;
2020-01-17;0;987,9;21,270833;35,6;28,0875;22,1;68,791667;41;9,9;2,045833;
2020-01-18;0;989,978261;21,408696;33,6;27,217391;23,3;72,086957;48;8,8;2,743478;
2020-01-19;0;988,95;20,070833;34,5;26,395833;21,4;70,208333;39;8,1;2,241667;
2020-01-20;0;986,020833;20,883333;34,7;26,2375;22,6;74,125;43;11,3;2,429167;
2020-01-21;6,8;983,408696;21,93913;31,8;25,108696;21,7;83,521739;55;7,8;1,9;
2020-01-22;13,4;982,9625;22,2;27,9;24,2625;21,7;88,666667;73;9,5;1,491667;
