Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.407181
Longitude: -40.539825
Altitude: 95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1,4;998,720833;21,175;34,2;26,420833;20,6;76,125;43;7,3;1,145833;
2020-01-02;0;997,433333;22,266667;35,3;27,295833;24,3;75,791667;46;12,6;1,495833;
2020-01-03;26;997,85;23,1625;33,2;25,525;22,4;87,625;57;9,6;1,170833;
2020-01-04;31,4;997,55;22,641667;31,8;26,3125;22,4;81,875;52;9,4;1,029167;
2020-01-05;,2;997,329167;23,141667;33,4;26,691667;23,4;81,791667;55;11,5;1,295833;
2020-01-06;4,2;998,383333;24,191667;32,7;27,2125;24,1;84,666667;57;6,5;,758333;
2020-01-07;0;999,358333;23,7875;35,7;28,575;24,5;77,208333;47;6,7;1,1875;
2020-01-08;0;1000,379167;23,079167;33,6;27,804167;24,1;76,333333;54;5,8;1,204167;
2020-01-09;0;1000,475;20,091667;34,9;27,691667;21;65,75;38;5,6;1,208333;
2020-01-10;0;1001,004167;19,729167;35,2;27,579167;20,2;65,75;35;7,1;1,3375;
2020-01-11;0;1000,716667;18,4125;36,2;28,858333;23,8;56,833333;25;8,2;1,995833;
