Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;14,8;930,2;17,041667;30,1;22,3;16,5;74,666667;42;7;1,3;
2020-01-02;0;929,208333;18,5625;30,1;24,016667;19,7;73;46;8,5;1,708333;
2020-01-03;12,4;929,908333;19,35;28,3;22,058333;19,4;85,416667;56;5,9;,929167;
2020-01-04;52,2;929,283333;18,808333;27,7;22,358333;18,6;81,291667;56;8,1;1,433333;
2020-01-05;11,6;929,3;19,258333;28,9;23,708333;19,7;77,291667;56;8,6;1,5375;
2020-01-06;,2;930,15;19,7375;30,7;25,141667;21,4;73,5;50;8;1,429167;
2020-01-07;0;931,295833;20,233333;32,2;25,345833;20,4;75,625;47;7,5;1,525;
2020-01-08;0;931,941667;20,658333;33;25,575;20;76,541667;44;7,2;1,320833;
2020-01-09;0;932,0125;20,008333;31,6;24,570833;19,6;77,875;48;5,3;,904167;
2020-01-10;0;932,358333;15,670833;32,8;24,241667;18,8;66,375;12;7,2;1,35;
2020-01-11;,2;932,195833;16,55;31,3;23,175;16,7;69,791667;40;8,6;1,4875;
2020-01-12;0;932,4125;17,5;34,3;24,416667;17,9;68,666667;35;12,5;1,1;
2020-01-13;0;933,3;19,804167;30,7;23,7875;20,4;79,833333;49;8,6;,858333;
2020-01-14;9;934,654167;18,4625;23,2;20,6875;19,4;87,375;71;3,9;,754167;
2020-01-15;,4;933,95;17,341667;29,2;21,3375;16,1;79,5;50;4,4;,8375;
2020-01-16;,2;933,716667;18,708333;29,9;23,1375;17,7;77,791667;52;8,8;1,470833;
2020-01-17;0;934,433333;20,3375;28,7;23,141667;20,4;84,833333;59;5,9;,7;
2020-01-18;53;937,154167;17,641667;23,1;20,395833;17,1;84,583333;67;5,7;,925;
2020-01-19;2,2;935,279167;18,0375;26;20,945833;17,8;84,041667;64;5,6;1,020833;
2020-01-20;,8;932,504167;17,341667;23,9;19,4;17,9;88,208333;68;4,6;,941667;
