Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;null;null;null;26,5;null;24,3;null;68;6;null;
2020-01-02;null;null;null;31,9;null;26,2;null;57;10,3;null;
2020-01-03;null;null;null;null;null;30,6;null;null;null;null;
2020-01-04;null;null;null;26;null;24,5;null;80;3,8;null;
2020-01-05;null;null;null;null;null;24,9;null;null;null;null;
2020-01-06;null;null;null;31,5;null;26,1;null;68;8,2;null;
2020-01-07;null;null;null;null;null;31,1;null;null;null;null;
2020-01-08;null;null;null;null;null;null;null;null;null;null;
2020-01-09;null;null;null;null;null;null;null;null;null;null;
2020-01-10;null;null;null;31,8;null;null;null;54;11,8;null;
2020-01-11;null;null;null;32,1;null;29,6;null;51;11,7;null;
2020-01-12;null;null;null;33,8;null;29,1;null;53;9,6;null;
2020-01-13;null;null;null;32,3;null;31,7;null;63;7,1;null;
2020-01-14;null;null;null;null;null;30,3;null;null;null;null;
2020-01-15;null;null;null;null;null;null;null;null;null;null;
2020-01-16;null;null;null;33,5;null;27,6;null;52;10,2;null;
2020-01-17;null;null;null;32,8;null;29,6;null;57;8,1;null;
2020-01-18;null;null;null;27,1;null;27,1;null;64;12,7;null;
